"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
15,2022-10-01T12:00,2023-09-18T12:00,352,1,-71823.972336,216197.075345,3046.2,4,-211.0,900.0,1,-1899.0,1,1,38.3,5.0,38.0,MSW
16,2023-08-18T12:00,2023-09-18T12:00,31,1,-72439.834029,217726.314909,3367.82,4,-108.0,900.0,1,-972.0,1,1,20.1,5.0,19.4,MSW
19,2023-08-18T12:00,2023-09-18T12:00,31,1,-72939.331168,217368.30593,3272.2,4,-113.0,900.0,1,-1017.0,1,1,20.9,5.0,20.3,MSW
S3,2023-08-18T12:00,2023-09-18T12:00,31,1,-72842.211214,217503.650213,3303.88,4,-127.0,900.0,1,-1143.0,1,1,23.4,5.0,22.9,MSW
2,2023-09-18T12:00,2023-10-01T12:00,13,1,-72471.587253,215771.554025,2806.67,4,-43.0,900.0,1,-387.0,1,1,9.2,5.0,7.7,MSW
3,2023-09-18T12:00,2023-10-01T12:00,13,1,-72197.694303,215926.318099,2868.03,4,-24.0,900.0,1,-216.0,1,1,6.6,5.0,4.3,MSW
4,2023-09-18T12:00,2023-10-01T12:00,13,1,-72445.600905,216163.288327,2923.54,4,-24.0,900.0,1,-216.0,1,1,6.6,5.0,4.3,MSW
5,2023-09-18T12:00,2023-10-01T12:00,13,1,-72757.784028,216291.760198,2941.25,4,-35.0,900.0,1,-315.0,1,1,8.0,5.0,6.3,MSW
8,2023-09-18T12:00,2023-10-01T12:00,13,1,-72866.276561,216677.698349,3040.14,4,-33.0,900.0,1,-297.0,1,1,7.8,5.0,5.9,MSW
10,2023-09-18T12:00,2023-10-01T12:00,13,1,-72533.607431,216580.435621,3032.59,4,-21.0,900.0,1,-189.0,1,1,6.3,5.0,3.8,MSW
11,2023-09-18T12:00,2023-10-01T12:00,13,1,-72204.707064,216459.776882,3040.1,4,-17.0,900.0,1,-153.0,1,1,5.9,5.0,3.1,MSW
12,2023-09-18T12:00,2023-10-01T12:00,13,1,-72228.568817,216912.940896,3150.88,4,-17.0,900.0,1,-153.0,1,1,5.9,5.0,3.1,MSW
13,2023-09-18T12:00,2023-10-01T12:00,13,1,-72602.317014,216371.7977,2971.6,4,-35.0,900.0,1,-315.0,1,1,8.0,5.0,6.3,MSW
14,2023-09-18T12:00,2023-10-01T12:00,13,1,-72050.47018,217231.994983,3259.15,4,-17.0,900.0,1,-153.0,1,1,5.9,5.0,3.1,MSW
15,2023-09-18T12:00,2023-10-01T12:00,13,1,-71823.972336,216197.075345,3046.2,4,-21.0,900.0,1,-189.0,1,1,6.3,5.0,3.8,MSW
16,2023-09-18T12:00,2023-10-01T12:00,13,1,-72439.834029,217726.314909,3367.82,4,-17.0,900.0,1,-153.0,1,1,5.9,5.0,3.1,MSW
19,2023-09-18T12:00,2023-10-01T12:00,13,1,-72939.331168,217368.30593,3272.2,4,-24.0,900.0,1,-216.0,1,1,6.6,5.0,4.3,MSW
S3,2023-09-18T12:00,2023-10-01T12:00,13,1,-72842.211214,217503.650213,3303.88,4,-17.0,900.0,1,-153.0,1,1,5.9,5.0,3.1,MSW
FS1,2022-10-01T12:00,2023-04-27T12:00,208,3,-72690.353204,216890.46392,3135.46,2,4000.0,360.0,2,1440.0,1,2,231.7,220.2,72.0,MWS
FS2,2022-10-01T12:00,2023-04-27T12:00,208,3,-71845.457451,216998.674065,3231.37,2,3850.0,360.0,2,1386.0,1,2,230.9,220.2,69.3,MWS
FS3,2022-10-01T12:00,2023-04-27T12:00,208,3,-72838.597314,217568.985113,3316.76,2,2520.0,367.0,2,924.8,1,2,225.0,220.2,46.2,MWS
FS4,2022-10-01T12:00,2023-04-27T12:00,208,3,-72518.492282,215693.96254,2793.14,2,1680.0,342.0,2,574.6,1,2,311.5,310.2,28.7,MWS
