"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer,QF (Flag to indicate whether the ...)
123,NaN,2023-04-30T12:0,,3,-74477.0585,220181.0,3196.62614912,,,,3,1047.0,5,3,381.6,372.3,83.8,BS,1
124,NaN,2023-04-30T12:0,,3,-74504.6445,220124.0,3198.47028213,,,,3,1346.0,5,3,387.6,372.3,107.7,BS,1
125,NaN,2023-04-30T12:0,,3,-74506.022,220045.0,3203.76729637,,,,3,1608.0,5,3,393.9,372.3,128.6,BS,1
126,NaN,2023-04-30T12:0,,3,-74534.7475,219939.0,3209.0335636,,,,3,1552.0,5,3,392.5,372.3,124.2,BS,0
127,NaN,2023-04-30T12:0,,3,-74597.4507,219980.0,3204.54789256,,,,3,1683.0,5,3,395.9,372.3,134.6,BS,1
128,NaN,2023-04-30T12:0,,3,-74664.1608,220022.0,3194.57154235,,,,3,1234.0,5,3,385.2,372.3,98.7,BS,1
129,NaN,2023-04-30T12:0,,3,-74815.9615,220124.0,3174.70611233,,,,3,1459.0,5,3,390.2,372.3,116.7,BS,0
130,NaN,2023-04-30T12:0,,3,-74906.4219,220172.0,3169.12052724,,,,3,1047.0,5,3,381.6,372.3,83.8,BS,1
131,NaN,2023-04-30T12:0,,3,-75000.471,220231.0,3156.15356072,,,,3,1047.0,5,3,381.6,372.3,83.8,BS,0
132,NaN,2023-04-30T12:0,,3,-75111.0326,220316.0,3139.59596407,,,,3,1178.0,5,3,384.1,372.3,94.2,BS,0
133,NaN,2023-04-30T12:0,,3,-75217.7354,220399.0,3132.41349168,,,,3,916.0,5,3,379.5,372.3,73.3,BS,1
134,NaN,2023-04-30T12:0,,3,-75331.4334,220518.0,3133.21700997,,,,3,1085.0,5,3,382.3,372.3,86.8,BS,0
135,NaN,2023-04-30T12:0,,3,-75399.6112,220569.0,3130.64854795,,,,3,1141.0,5,3,383.3,372.3,91.3,BS,0
136,NaN,2023-04-30T12:0,,3,-75370.5103,220655.0,3099.61893127,,,,3,935.0,5,3,379.8,372.3,74.8,BS,1
137,NaN,2023-04-30T12:0,,3,-75300.6505,220749.0,3046.34251652,,,,3,1608.0,5,3,393.9,372.3,128.6,BS,1
138,NaN,2023-04-30T12:0,,3,-75195.4083,220927.0,2989.02474678,,,,3,1328.0,5,3,444.5,431.7,106.2,BS,0
139,NaN,2023-04-30T12:0,,3,-75247.3713,221102.0,2950.7576677,,,,3,1328.0,5,3,444.5,431.7,106.2,BS,0
140,NaN,2023-04-30T12:0,,3,-75301.7824,221281.0,2909.23971828,,,,3,1328.0,5,3,444.5,431.7,106.2,BS,0
141,NaN,2023-04-30T12:0,,3,-75330.8158,221427.0,2893.29798328,,,,3,1346.0,5,3,444.9,431.7,107.7,BS,1
142,NaN,2023-04-30T12:0,,3,-75496.4808,221472.0,2872.30009803,,,,3,1459.0,5,3,447.2,431.7,116.7,BS,0
143,NaN,2023-04-30T12:0,,3,-75747.4952,221316.0,2853.75376587,,,,3,1122.0,5,3,440.9,431.7,89.8,BS,0
144,NaN,2023-04-30T12:0,,3,-76011.0179,221370.0,2810.95955281,,,,3,935.0,5,3,438.1,431.7,74.8,BS,1
145,NaN,2023-04-30T12:0,,3,-76131.8244,221286.0,2774.55798284,,,,3,972.0,5,3,438.6,431.7,77.8,BS,1
146,NaN,2023-04-30T12:0,,3,-76276.5476,221261.0,2748.11799772,,,,3,1047.0,5,3,439.7,431.7,83.8,BS,0
147,NaN,2023-04-30T12:0,,3,-76413.7774,221205.0,2708.75208246,,,,3,299.0,5,3,432.3,431.7,23.9,BS,1
148,NaN,2023-04-30T12:0,,3,-76500.605,221144.0,2677.93102059,,,,3,1047.0,5,3,439.7,431.7,83.8,BS,1
149,NaN,2023-04-30T12:0,,3,-76579.7538,221103.0,2649.29338128,,,,3,860.0,5,3,437.1,431.7,68.8,BS,0
150,NaN,2023-04-30T12:0,,3,-76671.8486,221063.0,2620.83606206,,,,3,561.0,5,3,434.0,431.7,44.9,BS,1
